Reaction_ID,RAS
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,39.6666
1a_24_25VITD2Hm,NaN
1a_25VITD2Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,3.6667
24_25VITD3Hm,3.6667
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin_m,NaN
25HVITD3t,NaN
25HVITD3tin_m,NaN
25VITD2Hm,16
25VITD3Hm,16
2AMACHYD,1
2AMACSULT,2.6667
2AMADPTm,0.66667
2DR1PP,NaN
2HBO,1450.3333
2HBt2,311
2HCO3_NAt,27.6665
2MCITt,NaN
2OXOADOXm,84
2OXOADPTm,0.66667
34DHOXPEGOX,4.3334
34DHOXPEGt,NaN
34DHPHAMT,166
34DHPHEt,1.3333
34DHPLACOX,73.3333
34DHPLACOX_NADP_,2.3333
34DHXMANDACOX,73
34DHXMANDACOX_NADP_,1.6666
34HPLFM,NaN
34HPPOR,0.33333
35CGMPtn,NaN
3AIBTm,90.6666
3AIBtmi,90.6666
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,41.3333
3HAO,1.3333
3HBCDm,0
3HBCOAHLm,NaN
3HKYNAKGAT,48.0001
3HLYTCL,0
3M4HDXPAC,73.3333
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,73.3333
3MOX4HOXPGALDOX_NADP_,73.3333
3MOXTYROX,32
3SALAASPm,90.6667
3SALACBOXL,15.6666
3SALAOX,NaN
3SALATAi,98.3333
3SALATAim,204
3SPYRSP,NaN
3SPYRSPm,NaN
41R1H2MAE12BOOX,32
41R2A1H12BOOX,32
42A12BOOX,71.6666
4ABUTtm,NaN
4HBZCOAFm,NaN
4HBZFm,NaN
4HDEBRISOQUINEte,NaN
