	Symbol	Alias	Name	RNA_seq
314.1	AOC2	['DAO2', 'RAO', 'SSAO']	amine oxidase copper containing 2	14.6666666666667
26.1	AOC1	['ABP', 'ABP1', 'DAO', 'DAO1', 'KAO']	amine oxidase copper containing 1	0.333333333333333
314.2	AOC2	['DAO2', 'RAO', 'SSAO']	amine oxidase copper containing 2	14.6666666666667
8639.1	AOC3	['HPAO', 'SSAO', 'VAP-1', 'VAP1']	amine oxidase copper containing 3	15
1591.1	CYP24A1	['CP24', 'CYP24', 'HCAI', 'HCINF1', 'P450-CC24']	cytochrome P450 family 24 subfamily A member 1	26.3333333333333
1594.1	CYP27B1	['CP2B', 'CYP1', 'CYP1alpha', 'CYP27B', 'P450c1', 'PDDR', 'VDD1', 'VDDR', 'VDDRI', 'VDR']	cytochrome P450 family 27 subfamily B member 1	10.6666666666667
10993.1	SDS	SDH	serine dehydratase	0.666666666666667
6818.1	SULT1A3	['HAST', 'HAST3', 'M-PST', 'ST1A3', 'ST1A3/ST1A4', 'ST1A4', 'ST1A5', 'STM', 'TL-PST']	sulfotransferase family 1A member 3	2
89874.1	SLC25A21	['MTDPS18', 'ODC', 'ODC1']	solute carrier family 25 member 21	0
55293.1	UEVLD	['ATTP', 'UEV3']	UEV and lactate/malate dehyrogenase domains	49
3945.1	LDHB	['HEL-S-281', 'LDH-B', 'LDH-H', 'LDHBD', 'TRG-5']	lactate dehydrogenase B	101.333333333333
3948.2	LDHC	['CT32', 'LDH3', 'LDHX']	lactate dehydrogenase C	2.33333333333333
3948.1	LDHC	['CT32', 'LDH3', 'LDHX']	lactate dehydrogenase C	2.33333333333333
3939.1	LDHA	['GSD11', 'HEL-S-133P', 'LDHM', 'PIG19']	lactate dehydrogenase A	1662
160287.1	LDHAL6A	LDH6A	lactate dehydrogenase A like 6A	2.33333333333333
92483.1	LDHAL6B	['LDH6B', 'LDHAL6', 'LDHL']	lactate dehydrogenase A like 6B	0.666666666666667
6566.1	SLC16A1	['HHF7', 'MCT', 'MCT1', 'MCT1D']	solute carrier family 16 member 1	317
9123.1	SLC16A3	['MCT 3', 'MCT 4', 'MCT-3', 'MCT-4', 'MCT3', 'MCT4']	solute carrier family 16 member 3	14.6666666666667
9194.1	SLC16A7	MCT2	solute carrier family 16 member 7	55.6666666666667
57835.1	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	8.33333333333333
57835.4	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	8.33333333333333
8671.1	SLC4A4	['HNBC1', 'KNBC', 'NBC1', 'NBC2', 'NBCe1-A', 'SLC4A5', 'hhNMC', 'kNBC1', 'pNBC']	solute carrier family 4 member 4	4
57835.3	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	8.33333333333333
57835.2	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	8.33333333333333
4967.2	OGDH	['AKGDH', 'E1k', 'KGD1', 'OGDC', 'OGDH2']	oxoglutarate dehydrogenase	143.666666666667
8050.1	PDHX	['DLDBP', 'E3BP', 'OPDX', 'PDHXD', 'PDX1', 'proX']	pyruvate dehydrogenase complex component X	52
1743.1	DLST	['DLTS', 'KGD2', 'PGL7']	dihydrolipoamide S-succinyltransferase	144.333333333333
4967.1	OGDH	['AKGDH', 'E1k', 'KGD1', 'OGDC', 'OGDH2']	oxoglutarate dehydrogenase	143.666666666667
1738.1	DLD	['DLDD', 'DLDH', 'E3', 'GCSL', 'LAD', 'OGDC-E3', 'PHE3']	dihydrolipoamide dehydrogenase	102.666666666667
131.1	ADH7	ADH4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	0
125.1	ADH1B	['ADH2', 'HEL-S-117']	alcohol dehydrogenase 1B (class I), beta polypeptide	0
128.1	ADH5	['ADH-3', 'ADHX', 'FALDH', 'FDH', 'GSH-FDH', 'GSNOR', 'HEL-S-60p']	alcohol dehydrogenase 5 (class III), chi polypeptide	219.666666666667
124.1	ADH1A	ADH1	alcohol dehydrogenase 1A (class I), alpha polypeptide	0
130.1	ADH6	ADH-5	alcohol dehydrogenase 6 (class V)	0.333333333333333
126.1	ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide	0
127.1	ADH4	['ADH-2', 'HEL-S-4']	alcohol dehydrogenase 4 (class II), pi polypeptide	0.666666666666667
137872.1	ADHFE1	['ADH8', 'HMFT2263', 'HOT']	alcohol dehydrogenase iron containing 1	2.66666666666667
1312.2	COMT	HEL-S-98n	catechol-O-methyltransferase	99.3333333333333
1312.1	COMT	HEL-S-98n	catechol-O-methyltransferase	99.3333333333333
117247.1	SLC16A10	['MCT10', 'PRO0813', 'TAT1']	solute carrier family 16 member 10	2
220.1	ALDH1A3	['ALDH1A6', 'ALDH6', 'MCOP8', 'RALDH3']	aldehyde dehydrogenase 1 family member A3	0.333333333333333
222.1	ALDH3B2	ALDH8	aldehyde dehydrogenase 3 family member B2	0
221.1	ALDH3B1	['ALDH4', 'ALDH7']	aldehyde dehydrogenase 3 family member B1	109
218.1	ALDH3A1	['ALDH3', 'ALDHIII']	aldehyde dehydrogenase 3 family member A1	1
3242.1	HPD	['4-HPPD', '4HPPD', 'GLOD3', 'HPPDASE', 'PPD']	4-hydroxyphenylpyruvate dioxygenase	0
18.1	ABAT	['GABA-AT', 'GABAT', 'NPD009']	4-aminobutyrate aminotransferase	47
18.2	ABAT	['GABA-AT', 'GABAT', 'NPD009']	4-aminobutyrate aminotransferase	47
2531.1	KDSR	['DHSR', 'EKVP4', 'FVT1', 'SDR35C1']	3-ketodihydrosphingosine reductase	43
23498.1	HAAO	['3-HAO', 'HAO', 'VCRL1', 'h3HAO']	3-hydroxyanthranilate 3,4-dioxygenase	2
55268.1	ECHDC2		enoyl-CoA hydratase domain containing 2	0.666666666666667
51166.1	AADAT	['KAT2', 'KATII', 'KYAT2']	aminoadipate aminotransferase	30.6666666666667
883.1	KYAT1	['CCBL1', 'GTK', 'KAT1', 'KATI']	kynurenine aminotransferase 1	8.66666666666667
51166.2	AADAT	['KAT2', 'KATII', 'KYAT2']	aminoadipate aminotransferase	30.6666666666667
1644.1	DDC	AADC	dopa decarboxylase	0
4129.1	MAOB		monoamine oxidase B	4.66666666666667
4128.1	MAOA	['BRNRS', 'MAO-A']	monoamine oxidase A	28.3333333333333
8604.1	SLC25A12	['AGC1', 'ARALAR', 'EIEE39']	solute carrier family 25 member 12	38
10165.1	SLC25A13	['ARALAR2', 'CITRIN', 'CTLN2', 'NICCD']	solute carrier family 25 member 13	73.3333333333333
51380.1	CSAD	['CSD', 'PCAP']	cysteine sulfinic acid decarboxylase	12
2571.2	GAD1	['CPSQ1', 'GAD', 'SCP']	glutamate decarboxylase 1	5.33333333333333
2571.1	GAD1	['CPSQ1', 'GAD', 'SCP']	glutamate decarboxylase 1	5.33333333333333
2572.1	GAD2	GAD65	glutamate decarboxylase 2	0
2805.1	GOT1	['AST1', 'ASTQTL1', 'GIG18', 'cAspAT', 'cCAT']	glutamic-oxaloacetic transaminase 1	128
2806.1	GOT2	['KAT4', 'KATIV', 'KYAT4', 'mitAAT']	glutamic-oxaloacetic transaminase 2	320.666666666667
8659.1	ALDH4A1	['ALDH4', 'P5CD', 'P5CDh']	aldehyde dehydrogenase 4 family member A1	16.3333333333333
8659.2	ALDH4A1	['ALDH4', 'P5CD', 'P5CDh']	aldehyde dehydrogenase 4 family member A1	16.3333333333333
6817.5	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	13.3333333333333
6817.2	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	13.3333333333333
6817.4	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	13.3333333333333
6817.3	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	13.3333333333333
6817.1	SULT1A1	['HAST1/HAST2', 'P-PST', 'PST', 'ST1A1', 'ST1A3', 'STP', 'STP1', 'TSPST1']	sulfotransferase family 1A member 1	13.3333333333333
6799.2	SULT1A2	['HAST4', 'P-PST', 'P-PST 2', 'ST1A2', 'STP2', 'TSPST2']	sulfotransferase family 1A member 2	2.33333333333333
6818.2	SULT1A3	['HAST', 'HAST3', 'M-PST', 'ST1A3', 'ST1A3/ST1A4', 'ST1A4', 'ST1A5', 'STM', 'TL-PST']	sulfotransferase family 1A member 3	2
6818.3	SULT1A3	['HAST', 'HAST3', 'M-PST', 'ST1A3', 'ST1A3/ST1A4', 'ST1A4', 'ST1A5', 'STM', 'TL-PST']	sulfotransferase family 1A member 3	2
6799.1	SULT1A2	['HAST4', 'P-PST', 'P-PST 2', 'ST1A2', 'STP2', 'TSPST2']	sulfotransferase family 1A member 2	2.33333333333333
4363.1	ABCC1	['ABC29', 'ABCC', 'DFNA77', 'GS-X', 'MRP', 'MRP1']	ATP binding cassette subfamily C member 1	178.666666666667
